mygrep n d matrix alg k throughputSH throughputMH
mygrep 48 4 skew-48-0.4 vermilion 2 0.815972222222223 1
mygrep 48 4 skew-48-0.4 vermilion 3 1.087962962962964 1
mygrep 48 4 skew-48-0.5 vermilion 2 1.9583333333333335 1
mygrep 48 4 skew-48-0.5 vermilion 3 1.3055555555555558 1
mygrep 48 4 skew-48-0.6 vermilion 2 1.2239583333333337 1
mygrep 48 4 skew-48-0.6 vermilion 3 1.631944444444445 1
mygrep 48 4 skew-48-0.7 vermilion 2 1.6319444444444442 1
mygrep 48 4 skew-48-0.7 vermilion 3 1.0879629629629628 1
mygrep 48 4 skew-48-0.8 vermilion 2 2.4479166666666674 1
mygrep 48 4 skew-48-0.8 vermilion 3 1.631944444444445 1
mygrep 48 4 skew-48-0.9 vermilion 2 4.895833333333335 1
mygrep 48 4 skew-48-0.9 vermilion 3 9.79166666666667 1
mygrep 64 4 chessboard-64 vermilion 2 1.3229166666666667 1
mygrep 64 4 chessboard-64 vermilion 3 0.8819444444444444 1
mygrep 64 4 uniform-64 vermilion 2 0.984375 1
mygrep 64 4 uniform-64 vermilion 3 0.984375 1
mygrep 64 4 permutation-64 vermilion 2 0.5078125 1
mygrep 64 4 permutation-64 vermilion 3 0.671875 1
mygrep 64 4 skew-64-0.1 vermilion 2 0.546875 1
mygrep 64 4 skew-64-0.1 vermilion 3 1.09375 1
mygrep 64 4 skew-64-0.2 vermilion 2 1.23046875 1
mygrep 64 4 skew-64-0.2 vermilion 3 0.8203125 1
mygrep 64 4 skew-64-0.3 vermilion 2 1.4062500000000002 1
mygrep 64 4 skew-64-0.3 vermilion 3 1.4062500000000002 1
mygrep 64 4 skew-64-0.4 vermilion 2 0.8203125000000002 1
mygrep 64 4 skew-64-0.4 vermilion 3 1.0937500000000002 1
mygrep 64 4 skew-64-0.5 vermilion 2 0.984375 1
mygrep 64 4 skew-64-0.5 vermilion 3 1.3125 1
mygrep 64 4 skew-64-0.6 vermilion 2 1.2304687499999998 1
mygrep 64 4 skew-64-0.6 vermilion 3 0.8203124999999999 1
mygrep 64 4 skew-64-0.7 vermilion 2 1.6406249999999996 1
mygrep 64 4 skew-64-0.7 vermilion 3 3.281249999999999 1
mygrep 64 4 skew-64-0.8 vermilion 2 2.460937500000001 1
mygrep 64 4 skew-64-0.8 vermilion 3 3.281250000000001 1
mygrep 64 4 skew-64-0.9 vermilion 2 4.921875000000002 1
mygrep 64 4 skew-64-0.9 vermilion 3 3.281250000000001 1
mygrep 128 4 chessboard-128 vermilion 2 0.9960937500000001 1
mygrep 128 4 chessboard-128 vermilion 3 0.8854166666666667 1
mygrep 128 4 uniform-128 vermilion 2 0.9921875 1
mygrep 128 4 uniform-128 vermilion 3 0.9921875 1
mygrep 128 4 permutation-128 vermilion 2 0.50390625 1
mygrep 128 4 permutation-128 vermilion 3 0.6692708333333333 1
mygrep 128 4 skew-128-0.1 vermilion 2 1.1024305555555551 1
mygrep 128 4 skew-128-0.1 vermilion 3 1.1024305555555551 1
mygrep 128 4 skew-128-0.2 vermilion 2 0.6201171875000027 1
mygrep 128 4 skew-128-0.2 vermilion 3 0.8268229166666702 1
mygrep 128 4 skew-128-0.3 vermilion 2 1.417410714285719 1
mygrep 128 4 skew-128-0.3 vermilion 3 1.417410714285719 1
mygrep 128 4 skew-128-0.4 vermilion 2 0.8268229166666682 1
