N matrix d Alg RRGIter throughput
8 random-skewed-8 6 RRG 10 0.6175857330773569
8 random-skewed-8 6 Floor NA 0.75
8 random-skewed-8 6 Rounding NA 0.79
8 random-skewed-8 6 Alt_Rounding NA 0.84
8 random-skewed-8 6 Circle NA 0.2502627883233087
8 random-skewed-8 6 Chord NA 0.4171046472054995
8 random-skewed-8 7 RRG 10 0.6440928170687321
8 random-skewed-8 7 Floor NA 0.79
8 random-skewed-8 7 Rounding NA 0.8200000000000001
8 random-skewed-8 7 Alt_Rounding NA 0.8
8 random-skewed-8 7 Circle NA 0.25026278832333737
8 random-skewed-8 7 Chord NA 0.39327009593667306
8 skew-8-0.1 2 RRG 10 0.3764388198189999
8 skew-8-0.1 2 Floor NA 0.43999999999999995
8 skew-8-0.1 2 Rounding NA 0.41000000000000003
8 skew-8-0.1 2 Alt_Rounding NA 0.42000000000000004
8 skew-8-0.1 2 Circle NA 0.25
8 skew-8-0.1 2 Chord NA 0.37500000000000006
8 skew-8-0.1 3 RRG 10 0.5484303997550188
8 skew-8-0.1 3 Floor NA 0.5800000000000001
8 skew-8-0.1 3 Rounding NA 0.6
8 skew-8-0.1 3 Alt_Rounding NA 0.59
8 skew-8-0.1 3 Circle NA 0.2499999999999999
8 skew-8-0.1 3 Chord NA 0.5833333333333333
8 skew-8-0.1 4 RRG 10 0.6829032224652952
8 skew-8-0.1 4 Floor NA 0.6699999999999999
8 skew-8-0.1 4 Rounding NA 0.6699999999999999
8 skew-8-0.1 4 Alt_Rounding NA 0.63
8 skew-8-0.1 4 Circle NA 0.25
8 skew-8-0.1 4 Chord NA 0.5
8 skew-8-0.1 5 RRG 10 0.7536287585974832
8 skew-8-0.1 5 Floor NA 0.76
8 skew-8-0.1 5 Rounding NA 0.73
8 skew-8-0.1 5 Alt_Rounding NA 0.6799999999999999
8 skew-8-0.1 5 Circle NA 0.2500000000000001
8 skew-8-0.1 5 Chord NA 0.44999999999999996
8 skew-8-0.1 6 RRG 10 0.8327006577174826
8 skew-8-0.1 6 Floor NA 0.8
8 skew-8-0.1 6 Rounding NA 0.76
8 skew-8-0.1 6 Alt_Rounding NA 0.75
8 skew-8-0.1 6 Circle NA 0.2499999999999999
8 skew-8-0.1 6 Chord NA 0.4166666666666665
8 skew-8-0.1 7 RRG 10 0.9302325581395345
8 skew-8-0.1 7 Floor NA 0.88
8 skew-8-0.1 7 Rounding NA 0.79
8 skew-8-0.1 7 Alt_Rounding NA 0.81
8 skew-8-0.1 7 Circle NA 0.25000000000000006
8 skew-8-0.1 7 Chord NA 0.39285714285714285
8 skew-8-0.2 2 RRG 10 0.39887695136568546
8 skew-8-0.2 2 Floor NA 0.42999999999999994
8 skew-8-0.2 2 Rounding NA 0.42000000000000004
8 skew-8-0.2 2 Alt_Rounding NA 0.42999999999999994
8 skew-8-0.2 2 Circle NA 0.24999999999999994
8 skew-8-0.2 2 Chord NA 0.37499999999999994
8 skew-8-0.2 3 RRG 10 0.5398761712003194
8 skew-8-0.2 3 Floor NA 0.62
8 skew-8-0.2 3 Rounding NA 0.64
8 skew-8-0.2 3 Alt_Rounding NA 0.59
8 skew-8-0.2 3 Circle NA 0.24999999999999997
8 skew-8-0.2 3 Chord NA 0.5833333333333334
8 skew-8-0.2 4 RRG 10 0.6443014737472751
8 skew-8-0.2 4 Floor NA 0.6799999999999999
8 skew-8-0.2 4 Rounding NA 0.63
8 skew-8-0.2 4 Alt_Rounding NA 0.6599999999999999
8 skew-8-0.2 4 Circle NA 0.24999999999999994
8 skew-8-0.2 4 Chord NA 0.5000000000000001
8 skew-8-0.2 5 RRG 10 0.7353488398272245
8 skew-8-0.2 5 Floor NA 0.74
8 skew-8-0.2 5 Rounding NA 0.71
8 skew-8-0.2 5 Alt_Rounding NA 0.69
8 skew-8-0.2 5 Circle NA 0.24999999999999992
8 skew-8-0.2 5 Chord NA 0.45
8 skew-8-0.2 6 RRG 10 0.7871162280701754
8 skew-8-0.2 6 Floor NA 0.78
8 skew-8-0.2 6 Rounding NA 0.71
8 skew-8-0.2 6 Alt_Rounding NA 0.74
8 skew-8-0.2 6 Circle NA 0.24999999999999997
8 skew-8-0.2 6 Chord NA 0.41666666666666674
8 skew-8-0.2 7 RRG 10 0.8695652173913043
8 skew-8-0.2 7 Floor NA 0.87
8 skew-8-0.2 7 Rounding NA 0.8
8 skew-8-0.2 7 Alt_Rounding NA 0.81
8 skew-8-0.2 7 Circle NA 0.24999999999999994
8 skew-8-0.2 7 Chord NA 0.3928571428571429
8 skew-8-0.3 2 RRG 10 0.38905649741071857
8 skew-8-0.3 2 Floor NA 0.49
8 skew-8-0.3 2 Rounding NA 0.5
8 skew-8-0.3 2 Alt_Rounding NA 0.52
8 skew-8-0.3 2 Circle NA 0.24999999999999992
8 skew-8-0.3 2 Chord NA 0.375
8 skew-8-0.3 3 RRG 10 0.5400613289685363
8 skew-8-0.3 3 Floor NA 0.61
8 skew-8-0.3 3 Rounding NA 0.62
8 skew-8-0.3 3 Alt_Rounding NA 0.64
8 skew-8-0.3 3 Circle NA 0.24999999999999992
8 skew-8-0.3 3 Chord NA 0.5833333333333333
8 skew-8-0.3 4 RRG 10 0.6399136487491159
8 skew-8-0.3 4 Floor NA 0.6799999999999999
8 skew-8-0.3 4 Rounding NA 0.6699999999999999
8 skew-8-0.3 4 Alt_Rounding NA 0.69
8 skew-8-0.3 4 Circle NA 0.24999999999999992
8 skew-8-0.3 4 Chord NA 0.5000000000000001
8 skew-8-0.3 5 RRG 10 0.6983015580134192
8 skew-8-0.3 5 Floor NA 0.73
8 skew-8-0.3 5 Rounding NA 0.7
8 skew-8-0.3 5 Alt_Rounding NA 0.73
8 skew-8-0.3 5 Circle NA 0.25000000000000006
8 skew-8-0.3 5 Chord NA 0.45000000000000007
8 skew-8-0.3 6 RRG 10 0.7439280359820091
8 skew-8-0.3 6 Floor NA 0.8
8 skew-8-0.3 6 Rounding NA 0.76
8 skew-8-0.3 6 Alt_Rounding NA 0.74
8 skew-8-0.3 6 Circle NA 0.24999999999999992
8 skew-8-0.3 6 Chord NA 0.41666666666666674
8 skew-8-0.3 7 RRG 10 0.8163265306122451
8 skew-8-0.3 7 Floor NA 0.83
8 skew-8-0.3 7 Rounding NA 0.79
8 skew-8-0.3 7 Alt_Rounding NA 0.77
8 skew-8-0.3 7 Circle NA 0.2500000000000001
8 skew-8-0.3 7 Chord NA 0.3928571428571429
8 skew-8-0.4 2 RRG 10 0.354793338444756
8 skew-8-0.4 2 Floor NA 0.47
8 skew-8-0.4 2 Rounding NA 0.52
8 skew-8-0.4 2 Alt_Rounding NA 0.55
8 skew-8-0.4 2 Circle NA 0.24999999999999994
8 skew-8-0.4 2 Chord NA 0.37500000000000006
8 skew-8-0.4 3 RRG 10 0.5337049912974969
8 skew-8-0.4 3 Floor NA 0.61
8 skew-8-0.4 3 Rounding NA 0.6
8 skew-8-0.4 3 Alt_Rounding NA 0.64
8 skew-8-0.4 3 Circle NA 0.2500000000000001
8 skew-8-0.4 3 Chord NA 0.5833333333333334
8 skew-8-0.4 4 RRG 10 0.594253125481943
8 skew-8-0.4 4 Floor NA 0.6699999999999999
8 skew-8-0.4 4 Rounding NA 0.6499999999999999
8 skew-8-0.4 4 Alt_Rounding NA 0.62
8 skew-8-0.4 4 Circle NA 0.24999999999999994
8 skew-8-0.4 4 Chord NA 0.5
8 skew-8-0.4 5 RRG 10 0.662544089255507
8 skew-8-0.4 5 Floor NA 0.72
8 skew-8-0.4 5 Rounding NA 0.73
8 skew-8-0.4 5 Alt_Rounding NA 0.71
8 skew-8-0.4 5 Circle NA 0.2500000000000001
8 skew-8-0.4 5 Chord NA 0.45
8 skew-8-0.4 6 RRG 10 0.7025920184258317
8 skew-8-0.4 6 Floor NA 0.77
8 skew-8-0.4 6 Rounding NA 0.75
8 skew-8-0.4 6 Alt_Rounding NA 0.77
8 skew-8-0.4 6 Circle NA 0.2500000000000001
8 skew-8-0.4 6 Chord NA 0.41666666666666674
8 skew-8-0.4 7 RRG 10 0.7692307692307694
8 skew-8-0.4 7 Floor NA 0.8200000000000001
8 skew-8-0.4 7 Rounding NA 0.78
8 skew-8-0.4 7 Alt_Rounding NA 0.78
8 skew-8-0.4 7 Circle NA 0.24999999999999997
8 skew-8-0.4 7 Chord NA 0.39285714285714285
8 skew-8-0.5 2 RRG 10 0.3805163006177075
8 skew-8-0.5 2 Floor NA 0.42000000000000004
8 skew-8-0.5 2 Rounding NA 0.5700000000000001
8 skew-8-0.5 2 Alt_Rounding NA 0.59
8 skew-8-0.5 2 Circle NA 0.24999999999999983
8 skew-8-0.5 2 Chord NA 0.375
8 skew-8-0.5 3 RRG 10 0.529928072110072
8 skew-8-0.5 3 Floor NA 0.62
8 skew-8-0.5 3 Rounding NA 0.6
8 skew-8-0.5 3 Alt_Rounding NA 0.62
8 skew-8-0.5 3 Circle NA 0.25000000000000017
8 skew-8-0.5 3 Chord NA 0.5833333333333331
8 skew-8-0.5 4 RRG 10 0.5915947388343377
8 skew-8-0.5 4 Floor NA 0.6499999999999999
8 skew-8-0.5 4 Rounding NA 0.71
8 skew-8-0.5 4 Alt_Rounding NA 0.7
8 skew-8-0.5 4 Circle NA 0.24999999999999978
8 skew-8-0.5 4 Chord NA 0.4999999999999999
8 skew-8-0.5 5 RRG 10 0.6372303772294802
8 skew-8-0.5 5 Floor NA 0.73
8 skew-8-0.5 5 Rounding NA 0.71
8 skew-8-0.5 5 Alt_Rounding NA 0.74
8 skew-8-0.5 5 Circle NA 0.24999999999999983
8 skew-8-0.5 5 Chord NA 0.4499999999999999
8 skew-8-0.5 6 RRG 10 0.6685018959075828
8 skew-8-0.5 6 Floor NA 0.78
8 skew-8-0.5 6 Rounding NA 0.73
8 skew-8-0.5 6 Alt_Rounding NA 0.74
8 skew-8-0.5 6 Circle NA 0.25000000000000017
8 skew-8-0.5 6 Chord NA 0.4166666666666667
8 skew-8-0.5 7 RRG 10 0.727272727272727
8 skew-8-0.5 7 Floor NA 0.81
8 skew-8-0.5 7 Rounding NA 0.75
8 skew-8-0.5 7 Alt_Rounding NA 0.79
8 skew-8-0.5 7 Circle NA 0.24999999999999997
8 skew-8-0.5 7 Chord NA 0.3928571428571428
8 skew-8-0.6 2 RRG 10 0.38008704603035254
8 skew-8-0.6 2 Floor NA 0.48
8 skew-8-0.6 2 Rounding NA 0.61
8 skew-8-0.6 2 Alt_Rounding NA 0.61
8 skew-8-0.6 2 Circle NA 0.25000000000000017
8 skew-8-0.6 2 Chord NA 0.37500000000000006
8 skew-8-0.6 3 RRG 10 0.4986120931995764
8 skew-8-0.6 3 Floor NA 0.61
8 skew-8-0.6 3 Rounding NA 0.63
8 skew-8-0.6 3 Alt_Rounding NA 0.6
8 skew-8-0.6 3 Circle NA 0.2500000000000001
8 skew-8-0.6 3 Chord NA 0.5833333333333334
8 skew-8-0.6 4 RRG 10 0.561834379655103
8 skew-8-0.6 4 Floor NA 0.6799999999999999
8 skew-8-0.6 4 Rounding NA 0.71
8 skew-8-0.6 4 Alt_Rounding NA 0.73
8 skew-8-0.6 4 Circle NA 0.25000000000000017
8 skew-8-0.6 4 Chord NA 0.5
8 skew-8-0.6 5 RRG 10 0.6176891933552587
8 skew-8-0.6 5 Floor NA 0.74
8 skew-8-0.6 5 Rounding NA 0.76
8 skew-8-0.6 5 Alt_Rounding NA 0.73
8 skew-8-0.6 5 Circle NA 0.24999999999999994
8 skew-8-0.6 5 Chord NA 0.4500000000000002
8 skew-8-0.6 6 RRG 10 0.6358651752809705
8 skew-8-0.6 6 Floor NA 0.8
8 skew-8-0.6 6 Rounding NA 0.73
8 skew-8-0.6 6 Alt_Rounding NA 0.77
8 skew-8-0.6 6 Circle NA 0.25000000000000017
8 skew-8-0.6 6 Chord NA 0.41666666666666674
8 skew-8-0.6 7 RRG 10 0.6896551724137929
8 skew-8-0.6 7 Floor NA 0.81
8 skew-8-0.6 7 Rounding NA 0.81
8 skew-8-0.6 7 Alt_Rounding NA 0.8
8 skew-8-0.6 7 Circle NA 0.25000000000000006
8 skew-8-0.6 7 Chord NA 0.3928571428571428
8 skew-8-0.7 2 RRG 10 0.3532378808345563
8 skew-8-0.7 2 Floor NA 0.41000000000000003
8 skew-8-0.7 2 Rounding NA 0.61
8 skew-8-0.7 2 Alt_Rounding NA 0.6
8 skew-8-0.7 2 Circle NA 0.2500000000000001
8 skew-8-0.7 2 Chord NA 0.37500000000000006
8 skew-8-0.7 3 RRG 10 0.48794637400143215
8 skew-8-0.7 3 Floor NA 0.61
8 skew-8-0.7 3 Rounding NA 0.7
8 skew-8-0.7 3 Alt_Rounding NA 0.69
8 skew-8-0.7 3 Circle NA 0.25000000000000017
8 skew-8-0.7 3 Chord NA 0.5833333333333334
8 skew-8-0.7 4 RRG 10 0.5514165372364517
8 skew-8-0.7 4 Floor NA 0.71
8 skew-8-0.7 4 Rounding NA 0.71
8 skew-8-0.7 4 Alt_Rounding NA 0.71
8 skew-8-0.7 4 Circle NA 0.2500000000000001
8 skew-8-0.7 4 Chord NA 0.5000000000000001
8 skew-8-0.7 5 RRG 10 0.590884700820597
8 skew-8-0.7 5 Floor NA 0.73
8 skew-8-0.7 5 Rounding NA 0.76
8 skew-8-0.7 5 Alt_Rounding NA 0.77
8 skew-8-0.7 5 Circle NA 0.24999999999999992
8 skew-8-0.7 5 Chord NA 0.45
8 skew-8-0.7 6 RRG 10 0.6040426311055587
8 skew-8-0.7 6 Floor NA 0.79
8 skew-8-0.7 6 Rounding NA 0.78
8 skew-8-0.7 6 Alt_Rounding NA 0.81
8 skew-8-0.7 6 Circle NA 0.25000000000000017
8 skew-8-0.7 6 Chord NA 0.41666666666666663
8 skew-8-0.7 7 RRG 10 0.6557377049180328
8 skew-8-0.7 7 Floor NA 0.81
8 skew-8-0.7 7 Rounding NA 0.78
8 skew-8-0.7 7 Alt_Rounding NA 0.83
8 skew-8-0.7 7 Circle NA 0.24999999999999992
8 skew-8-0.7 7 Chord NA 0.3928571428571429
8 skew-8-0.8 2 RRG 10 0.3708904959104944
8 skew-8-0.8 2 Floor NA 0.63
8 skew-8-0.8 2 Rounding NA 0.63
8 skew-8-0.8 2 Alt_Rounding NA 0.63
8 skew-8-0.8 2 Circle NA 0.2500000000000001
8 skew-8-0.8 2 Chord NA 0.375
8 skew-8-0.8 3 RRG 10 0.4769796883315065
8 skew-8-0.8 3 Floor NA 0.61
8 skew-8-0.8 3 Rounding NA 0.74
8 skew-8-0.8 3 Alt_Rounding NA 0.72
8 skew-8-0.8 3 Circle NA 0.25000000000000006
8 skew-8-0.8 3 Chord NA 0.5833333333333333
8 skew-8-0.8 4 RRG 10 0.5284562610224811
8 skew-8-0.8 4 Floor NA 0.71
8 skew-8-0.8 4 Rounding NA 0.78
8 skew-8-0.8 4 Alt_Rounding NA 0.74
8 skew-8-0.8 4 Circle NA 0.2500000000000001
8 skew-8-0.8 4 Chord NA 0.5
8 skew-8-0.8 5 RRG 10 0.55705543797175
8 skew-8-0.8 5 Floor NA 0.77
8 skew-8-0.8 5 Rounding NA 0.77
8 skew-8-0.8 5 Alt_Rounding NA 0.76
8 skew-8-0.8 5 Circle NA 0.25000000000000006
8 skew-8-0.8 5 Chord NA 0.4499999999999999
8 skew-8-0.8 6 RRG 10 0.5837771762712
8 skew-8-0.8 6 Floor NA 0.81
8 skew-8-0.8 6 Rounding NA 0.8
8 skew-8-0.8 6 Alt_Rounding NA 0.81
8 skew-8-0.8 6 Circle NA 0.25000000000000006
8 skew-8-0.8 6 Chord NA 0.4166666666666667
8 skew-8-0.8 7 RRG 10 0.6249999999999999
8 skew-8-0.8 7 Floor NA 0.8
8 skew-8-0.8 7 Rounding NA 0.83
8 skew-8-0.8 7 Alt_Rounding NA 0.83
8 skew-8-0.8 7 Circle NA 0.25000000000000006
8 skew-8-0.8 7 Chord NA 0.3928571428571428
8 skew-8-0.9 2 RRG 10 0.3814395161028535
8 skew-8-0.9 2 Floor NA 0.72
8 skew-8-0.9 2 Rounding NA 0.63
8 skew-8-0.9 2 Alt_Rounding NA 0.63
8 skew-8-0.9 2 Circle NA 0.2500000000000001
8 skew-8-0.9 2 Chord NA 0.37500000000000006
8 skew-8-0.9 3 RRG 10 0.4740492958459641
8 skew-8-0.9 3 Floor NA 0.75
8 skew-8-0.9 3 Rounding NA 0.75
8 skew-8-0.9 3 Alt_Rounding NA 0.75
8 skew-8-0.9 3 Circle NA 0.25000000000000006
8 skew-8-0.9 3 Chord NA 0.5833333333333335
8 skew-8-0.9 4 RRG 10 0.5037572394298205
8 skew-8-0.9 4 Floor NA 0.71
8 skew-8-0.9 4 Rounding NA 0.8200000000000001
8 skew-8-0.9 4 Alt_Rounding NA 0.79
8 skew-8-0.9 4 Circle NA 0.2500000000000001
8 skew-8-0.9 4 Chord NA 0.5000000000000001
8 skew-8-0.9 5 RRG 10 0.5370292771039042
8 skew-8-0.9 5 Floor NA 0.74
8 skew-8-0.9 5 Rounding NA 0.85
8 skew-8-0.9 5 Alt_Rounding NA 0.85
8 skew-8-0.9 5 Circle NA 0.24999999999999992
8 skew-8-0.9 5 Chord NA 0.4499999999999999
8 skew-8-0.9 6 RRG 10 0.5524420640562401
8 skew-8-0.9 6 Floor NA 0.81
8 skew-8-0.9 6 Rounding NA 0.87
8 skew-8-0.9 6 Alt_Rounding NA 0.86
8 skew-8-0.9 6 Circle NA 0.25000000000000006
8 skew-8-0.9 6 Chord NA 0.4166666666666667
8 skew-8-0.9 7 RRG 10 0.5970149253731345
8 skew-8-0.9 7 Floor NA 0.84
8 skew-8-0.9 7 Rounding NA 0.83
8 skew-8-0.9 7 Alt_Rounding NA 0.88
8 skew-8-0.9 7 Circle NA 0.24999999999999992
8 skew-8-0.9 7 Chord NA 0.3928571428571429
16 data-parallelism 4 RRG 10 0.43422257068534414
16 data-parallelism 4 Floor NA 0.83
16 data-parallelism 4 Rounding NA 0.7
16 data-parallelism 4 Alt_Rounding NA 1.0
16 data-parallelism 4 Circle NA 1.0
16 data-parallelism 4 Chord NA 0.4135805951086331
