N matrix d Alg throughput SH
8 skew-8-0.1 4 Rounding 0.6375 0.3510326336675022
8 skew-8-0.1 4 Circle 0.25 0.032142857142857056
8 skew-8-0.1 5 RRG 0.744810622693809 0.5310237105798337
8 skew-8-0.1 5 Floor 0.765 0.5699339285714291
8 skew-8-0.1 5 Rounding 0.6974999999999999 0.43631808035714276
8 skew-8-0.1 5 Circle 0.2500000000000001 0.032142857142857244
8 skew-8-0.1 6 RRG 0.8338839880792832 0.6922540186559722
8 skew-8-0.1 6 Floor 0.79 0.5978738095238093
8 skew-8-0.1 6 Rounding 0.735 0.5233733465608468
8 skew-8-0.1 6 Circle 0.2499999999999999 0.03214285714285713
8 skew-8-0.1 7 RRG 0.9302325581395345 0.8604651162790706
8 skew-8-0.1 7 Floor 0.87 0.7689523809523814
8 skew-8-0.1 7 Rounding 0.78 0.6009010416666672
8 skew-8-0.1 7 Circle 0.25000000000000006 0.03214285714285708
8 skew-8-0.2 2 RRG 0.3868365278495903 0.10935812210418346
8 skew-8-0.2 2 Floor 0.44 0.16169642857142866
8 skew-8-0.2 2 Rounding 0.43999999999999995 0.13982142857142843
8 skew-8-0.2 2 Circle 0.24999999999999994 0.02857142857142863
8 skew-8-0.2 3 RRG 0.5603322939009961 0.2599640511149512
8 skew-8-0.2 3 Floor 0.5700000000000001 0.2595173611111111
8 skew-8-0.2 3 Rounding 0.575 0.3054156746031744
8 skew-8-0.2 3 Circle 0.24999999999999997 0.028571428571428633
8 skew-8-0.2 4 RRG 0.6410258565411727 0.36723791228745045
8 skew-8-0.2 4 Floor 0.675 0.40301658163265297
8 skew-8-0.2 4 Rounding 0.6325 0.3620930059523808
8 skew-8-0.2 4 Circle 0.24999999999999994 0.02857142857142863
8 skew-8-0.2 5 RRG 0.7502970841467229 0.5228168491189319
8 skew-8-0.2 5 Floor 0.7350000000000001 0.508716836734694
8 skew-8-0.2 5 Rounding 0.695 0.4448334041950114
8 skew-8-0.2 5 Circle 0.24999999999999992 0.028571428571428508
8 skew-8-0.2 6 RRG 0.7820544739411743 0.5919519707764638
8 skew-8-0.2 6 Floor 0.7875000000000001 0.6008638583638585
8 skew-8-0.2 6 Rounding 0.7525 0.5301416666666667
8 skew-8-0.2 6 Circle 0.24999999999999997 0.028571428571428633
8 skew-8-0.2 7 RRG 0.8695652173913043 0.7391304347826086
8 skew-8-0.2 7 Floor 0.875 0.7697785714285716
8 skew-8-0.2 7 Rounding 0.795 0.6132410714285718
8 skew-8-0.2 7 Circle 0.24999999999999994 0.028571428571428473
8 skew-8-0.3 2 RRG 0.36704784930492584 0.09828685721774343
8 skew-8-0.3 2 Floor 0.44 0.12981249999999994
8 skew-8-0.3 2 Rounding 0.4975 0.23150000000000015
8 skew-8-0.3 2 Circle 0.24999999999999992 0.024999999999999918
8 skew-8-0.3 3 RRG 0.553015631195702 0.23657919032317415
8 skew-8-0.3 3 Floor 0.585 0.2981736111111113
8 skew-8-0.3 3 Rounding 0.6025 0.3524444444444445
8 skew-8-0.3 3 Circle 0.24999999999999992 0.025000000000000057
8 skew-8-0.3 4 RRG 0.6277222207982182 0.34682960471862306
8 skew-8-0.3 4 Floor 0.6849999999999999 0.43558232600732627
8 skew-8-0.3 4 Rounding 0.6775 0.4188687500000005
8 skew-8-0.3 4 Circle 0.24999999999999992 0.024999999999999918
8 skew-8-0.3 5 RRG 0.7116060130243655 0.4584342821309345
8 skew-8-0.3 5 Floor 0.7350000000000001 0.5008359374999996
8 skew-8-0.3 5 Rounding 0.705 0.4547199652777778
8 skew-8-0.3 5 Circle 0.25000000000000006 0.025
8 skew-8-0.3 6 RRG 0.7431284357821089 0.52663668165917
8 skew-8-0.3 6 Floor 0.7925 0.6073999999999997
8 skew-8-0.3 6 Rounding 0.72 0.48232850378787845
8 skew-8-0.3 6 Circle 0.24999999999999992 0.025000000000000057
8 skew-8-0.3 7 RRG 0.8163265306122451 0.6326530612244905
8 skew-8-0.3 7 Floor 0.8125 0.6558364285714289
8 skew-8-0.3 7 Rounding 0.77 0.58315625
8 skew-8-0.3 7 Circle 0.2500000000000001 0.025000000000000088
8 skew-8-0.4 2 RRG 0.4124143877871176 0.11786380635085662
8 skew-8-0.4 2 Floor 0.45999999999999996 0.22214464285714333
8 skew-8-0.4 2 Rounding 0.5475000000000001 0.31321428571428567
8 skew-8-0.4 2 Circle 0.24999999999999994 0.02142857142857147
8 skew-8-0.4 3 RRG 0.5252361524859116 0.2217697077148409
8 skew-8-0.4 3 Floor 0.5975 0.347094246031746
8 skew-8-0.4 3 Rounding 0.62 0.3941850919913422
8 skew-8-0.4 3 Circle 0.2500000000000001 0.021428571428571474
8 skew-8-0.4 4 RRG 0.6297296366498477 0.3463498446787139
8 skew-8-0.4 4 Floor 0.6875 0.44115799444777926
8 skew-8-0.4 4 Rounding 0.6575 0.38028258928571385
8 skew-8-0.4 4 Circle 0.24999999999999994 0.02142857142857147
8 skew-8-0.4 5 RRG 0.6728936982490923 0.3823068008472748
8 skew-8-0.4 5 Floor 0.745 0.5264515306122451
8 skew-8-0.4 5 Rounding 0.6749999999999999 0.41298065476190504
8 skew-8-0.4 5 Circle 0.2500000000000001 0.02142857142857148
8 skew-8-0.4 6 RRG 0.7043489687144736 0.45515926237616455
8 skew-8-0.4 6 Floor 0.78 0.5857371031746031
8 skew-8-0.4 6 Rounding 0.7424999999999999 0.5436710012210011
8 skew-8-0.4 6 Circle 0.2500000000000001 0.021428571428571474
8 skew-8-0.4 7 RRG 0.7692307692307694 0.5384615384615377
8 skew-8-0.4 7 Floor 0.8150000000000001 0.6377450396825401
8 skew-8-0.4 7 Rounding 0.7725000000000001 0.5765282738095237
8 skew-8-0.4 7 Circle 0.24999999999999997 0.02142857142857147
8 skew-8-0.5 2 RRG 0.3808801740642183 0.12610206566822474
8 skew-8-0.5 2 Floor 0.42999999999999994 0.15636160714285718
8 skew-8-0.5 2 Rounding 0.5750000000000001 0.36964285714285705
8 skew-8-0.5 2 Circle 0.24999999999999983 0.017857142857142794
8 skew-8-0.5 3 RRG 0.49649976752570135 0.1884379033969239
8 skew-8-0.5 3 Floor 0.6024999999999999 0.3901169808201052
8 skew-8-0.5 3 Rounding 0.61 0.4131926729024936
8 skew-8-0.5 3 Circle 0.25000000000000017 0.017857142857142905
