N matrix d Alg throughput SH
16 Sinkhorn_heatmap3 4 Rounding 0.81 0.7552302596173888
16 Sinkhorn_heatmap3 4 Circle 0.14280327420220748 2.3932427566443192e-05
16 Sinkhorn_heatmap3 6 RRG 0.4376025834482783 0.07014083033888198
16 Sinkhorn_heatmap3 6 Floor 0.87 0.8337589408206405
16 Sinkhorn_heatmap3 6 Rounding 0.87 0.8382408338053978
16 Sinkhorn_heatmap3 6 Circle 0.1428032742022076 2.393242756644333e-05
16 Sinkhorn_heatmap3 8 RRG 0.46893545701947364 0.07292290126047409
16 Sinkhorn_heatmap3 8 Floor 0.9 0.8859923152397398
16 Sinkhorn_heatmap3 8 Rounding 0.9 0.8771898636653658
16 Sinkhorn_heatmap3 8 Circle 0.14280327420220748 2.3932427566443192e-05
16 Sinkhorn_heatmap3 10 RRG 0.49337825144996 0.07170244205962605
16 Sinkhorn_heatmap3 10 Floor 0.92 0.9007844568774939
16 Sinkhorn_heatmap3 10 Rounding 0.92 0.9022292606067207
16 Sinkhorn_heatmap3 10 Circle 0.14280327420220756 2.3932427566443433e-05
16 Sinkhorn_heatmap3 12 RRG 0.5099636223396932 0.06795693227398747
16 Sinkhorn_heatmap3 12 Floor 0.9299999999999999 0.9184463125113528
16 Sinkhorn_heatmap3 12 Rounding 0.9299999999999999 0.9218386741230095
16 Sinkhorn_heatmap3 12 Circle 0.1428032742022076 2.393242756644333e-05
16 Sinkhorn_heatmap3 14 RRG 0.5248866585199073 0.06756126764366466
16 Sinkhorn_heatmap3 14 Floor 0.94 0.9321533878052031
16 Sinkhorn_heatmap3 14 Rounding 0.94 0.9298980821755507
16 Sinkhorn_heatmap3 14 Circle 0.1428032742022076 2.393242756644335e-05
16 Sinkhorn_topoopt 4 RRG 0.4349508621989492 0.10501355999393465
16 Sinkhorn_topoopt 4 Floor 0.45499999999999996 0.12632443937702478
16 Sinkhorn_topoopt 4 Rounding 0.7775 0.7169593926125923
16 Sinkhorn_topoopt 4 Circle 0.26550762109950876 0.09051811059309144
16 Sinkhorn_topoopt 6 RRG 0.5243143598331503 0.18721360517202462
16 Sinkhorn_topoopt 6 Floor 0.69 0.5272593198004869
16 Sinkhorn_topoopt 6 Rounding 0.69 0.5391236543652536
16 Sinkhorn_topoopt 6 Circle 0.26550762109950965 0.09051811059309131
16 Sinkhorn_topoopt 8 RRG 0.5549790952098468 0.19551506740013666
16 Sinkhorn_topoopt 8 Floor 0.7274999999999999 0.5728215928619214
16 Sinkhorn_topoopt 8 Rounding 0.7825 0.6846680041968489
16 Sinkhorn_topoopt 8 Circle 0.26550762109950876 0.09051811059309144
16 Sinkhorn_topoopt 10 RRG 0.5694075272198764 0.20130770691951808
16 Sinkhorn_topoopt 10 Floor 0.7775000000000001 0.6574028470320459
16 Sinkhorn_topoopt 10 Rounding 0.8075000000000001 0.7022756445099374
16 Sinkhorn_topoopt 10 Circle 0.2655076210995087 0.09051811059309163
16 Sinkhorn_topoopt 12 RRG 0.5632051798925534 0.19908659397701275
16 Sinkhorn_topoopt 12 Floor 0.8250000000000001 0.7338420824695202
16 Sinkhorn_topoopt 12 Rounding 0.8325 0.7395438157118928
16 Sinkhorn_topoopt 12 Circle 0.2655076210995088 0.0905181105930912
16 Sinkhorn_topoopt 14 RRG 0.5674055970315961 0.20451981415335246
16 Sinkhorn_topoopt 14 Floor 0.8424999999999999 0.7544831281652091
16 Sinkhorn_topoopt 14 Rounding 0.855 0.7686835077007517
16 Sinkhorn_topoopt 14 Circle 0.26550762109950876 0.09051811059309141
16 chessboard-16 4 RRG 0.4863469539429871 0.13273929124595163
16 chessboard-16 4 Floor 0.4925 0.13435054159920562
16 chessboard-16 4 Rounding 0.475 0.13000109769265628
16 chessboard-16 4 Circle 0.1250000000000001 0.01209677419354865
16 chessboard-16 6 RRG 0.596489104425995 0.24221630126268184
16 chessboard-16 6 Floor 0.6 0.23861856168778295
16 chessboard-16 6 Rounding 0.59 0.2541038888645107
16 chessboard-16 6 Circle 0.1249999999999999 0.01209677419354803
16 chessboard-16 8 RRG 0.6523542723723039 0.34360252436742456
16 chessboard-16 8 Floor 0.6824999999999999 0.3789478137266289
16 chessboard-16 8 Rounding 0.695 0.4159202177295499
16 chessboard-16 8 Circle 0.1250000000000001 0.01209677419354865
16 chessboard-16 10 RRG 0.7101743322948006 0.4707581323389366
16 chessboard-16 10 Floor 0.73 0.4876839650135431
16 chessboard-16 10 Rounding 0.805 0.6373084370343823
16 chessboard-16 10 Circle 0.12499999999999989 0.012096774193548225
16 chessboard-16 12 RRG 0.7509357308337932 0.599628708086779
16 chessboard-16 12 Floor 0.74 0.5548440031179189
16 chessboard-16 12 Rounding 0.8324999999999999 0.690057002840681
16 chessboard-16 12 Circle 0.1249999999999999 0.01209677419354803
16 chessboard-16 14 RRG 0.7822754200433556 0.7008160066054602
16 chessboard-16 14 Floor 0.825 0.6618469554571955
16 chessboard-16 14 Rounding 0.8300000000000001 0.6802149088745568
16 chessboard-16 14 Circle 0.12499999999999983 0.01209677419354843
16 uniform-16 4 RRG 0.4800840176760633 0.12802240471361728
16 uniform-16 4 Floor 0.4875 0.1296375127032519
16 uniform-16 4 Rounding 0.47 0.12257069971165596
16 uniform-16 4 Circle 0.12500000000000014 0.008333333333333484
16 uniform-16 6 RRG 0.5961398854960684 0.23835505978306942
16 uniform-16 6 Floor 0.6 0.23380155370127423
16 uniform-16 6 Rounding 0.5475000000000001 0.19682400751855522
16 uniform-16 6 Circle 0.12500000000000028 0.00833333333333364
16 uniform-16 8 RRG 0.6752570075417546 0.36013707068893663
16 uniform-16 8 Floor 0.6724999999999999 0.3541322772450619
16 uniform-16 8 Rounding 0.6074999999999999 0.2784857841205619
16 uniform-16 8 Circle 0.12500000000000014 0.008333333333333484
16 uniform-16 10 RRG 0.75 0.5000000000000002
16 uniform-16 10 Floor 0.745 0.4928299779587642
16 uniform-16 10 Rounding 0.6875 0.39185139418202664
16 uniform-16 10 Circle 0.12499999999999997 0.008333333333333292
16 uniform-16 12 RRG 0.8308823529411763 0.6647058823529427
16 uniform-16 12 Floor 0.8275 0.6569252637482647
16 uniform-16 12 Rounding 0.7525 0.5084670811336529
16 uniform-16 12 Circle 0.12500000000000028 0.00833333333333364
16 uniform-16 14 RRG 0.9374999999999998 0.875
16 uniform-16 14 Floor 0.9299999999999999 0.8755892857142831
16 uniform-16 14 Rounding 0.81 0.6301806384297759
16 uniform-16 14 Circle 0.1249999999999999 0.008333333333333219
16 permutation-16 4 RRG 0.3852643429933123 0.06562500000000002
16 permutation-16 4 Floor 1.0 1.0
16 permutation-16 4 Rounding 1.0 1.0
16 permutation-16 4 Circle 0.125 0.0
16 permutation-16 6 RRG 0.430107163567736 0.07708333333333335
16 permutation-16 6 Floor 1.0 1.0
16 permutation-16 6 Rounding 1.0 1.0
16 permutation-16 6 Circle 0.125 0.0
16 permutation-16 8 RRG 0.45787165020574233 0.065625
16 permutation-16 8 Floor 1.0 1.0
16 permutation-16 8 Rounding 1.0 1.0
16 permutation-16 8 Circle 0.125 0.0
16 permutation-16 10 RRG 0.48109375 0.06999999999999999
16 permutation-16 10 Floor 1.0 1.0
16 permutation-16 10 Rounding 1.0 1.0
16 permutation-16 10 Circle 0.125 0.0
16 permutation-16 12 RRG 0.49544270833333337 0.06562500000000002
16 permutation-16 12 Floor 1.0 1.0
16 permutation-16 12 Rounding 1.0 1.0
16 permutation-16 12 Circle 0.125 0.0
16 permutation-16 14 RRG 0.5162946428571429 0.06517857142857142
16 permutation-16 14 Floor 1.0 1.0
16 permutation-16 14 Rounding 1.0 1.0
16 permutation-16 14 Circle 0.125 0.0
16 random-skewed-16 4 RRG 0.4411355049977373 0.10299412002808783
16 random-skewed-16 4 Floor 0.5025 0.23270717780538958
16 random-skewed-16 4 Rounding 0.5950000000000001 0.3993400534675369
16 random-skewed-16 4 Circle 0.1327766203729376 0.005472933841476073
16 random-skewed-16 6 RRG 0.5091146002337942 0.14825787704429566
16 random-skewed-16 6 Floor 0.6524999999999999 0.44075497611901204
16 random-skewed-16 6 Rounding 0.7024999999999999 0.5495986191057614
16 random-skewed-16 6 Circle 0.13277662037293755 0.005472933841476072
16 random-skewed-16 8 RRG 0.5628937975831325 0.18682114391623866
16 random-skewed-16 8 Floor 0.705 0.5113025047561608
16 random-skewed-16 8 Rounding 0.7575000000000001 0.6085946532720812
16 random-skewed-16 8 Circle 0.13277662037292962 0.0054729338414760765
16 random-skewed-16 10 RRG 0.5896990637226807 0.21230239495941086
16 random-skewed-16 10 Floor 0.7625000000000001 0.6036509225725478
16 random-skewed-16 10 Rounding 0.7975000000000001 0.6681562169412669
16 random-skewed-16 10 Circle 0.13277662037293234 0.00547293384147608
16 random-skewed-16 12 RRG 0.6145799032966253 0.2389672984987278
16 random-skewed-16 12 Floor 0.7925 0.6518284524548046
16 random-skewed-16 12 Rounding 0.8200000000000001 0.7051498334810422
16 random-skewed-16 12 Circle 0.13277662037293214 0.005472933841476058
16 random-skewed-16 14 RRG 0.6294232141958643 0.2596565499872546
16 random-skewed-16 14 Floor 0.8175000000000001 0.6865785399824536
16 random-skewed-16 14 Rounding 0.835 0.7215266456887287
16 random-skewed-16 14 Circle 0.13277662037293234 0.005472933841476061
16 skew-16-0.1 4 RRG 0.4892084136925379 0.12917283174416438
16 skew-16-0.1 4 Floor 0.49 0.13014787046748597
16 skew-16-0.1 4 Rounding 0.5025 0.1669119579718579
16 skew-16-0.1 4 Circle 0.1250000000000003 0.007499999999999856
16 skew-16-0.1 6 RRG 0.5956267860629242 0.2346397952536839
16 skew-16-0.1 6 Floor 0.605 0.24677770900577017
16 skew-16-0.1 6 Rounding 0.605 0.2573137625434825
16 skew-16-0.1 6 Circle 0.12500000000000014 0.007499999999999802
16 skew-16-0.1 8 RRG 0.678499762809645 0.3647949426162741
16 skew-16-0.1 8 Floor 0.6799999999999999 0.3625858290691648
16 skew-16-0.1 8 Rounding 0.6599999999999999 0.3353179587778457
16 skew-16-0.1 8 Circle 0.1250000000000003 0.007499999999999856
16 skew-16-0.1 10 RRG 0.7413931396212875 0.48292902252945097
16 skew-16-0.1 10 Floor 0.735 0.47979901762585336
16 skew-16-0.1 10 Rounding 0.7075 0.4260772682499679
16 skew-16-0.1 10 Circle 0.12500000000000006 0.007500000000000061
16 skew-16-0.1 12 RRG 0.8012736078946997 0.6046412328834168
16 skew-16-0.1 12 Floor 0.8 0.6021936008052413
16 skew-16-0.1 12 Rounding 0.7424999999999999 0.49218986787170793
16 skew-16-0.1 12 Circle 0.12500000000000014 0.007499999999999802
16 skew-16-0.1 14 RRG 0.8699426990190245 0.7490189289001201
16 skew-16-0.1 14 Floor 0.88 0.7652360711625221
16 skew-16-0.1 14 Rounding 0.785 0.5795156726351146
16 skew-16-0.1 14 Circle 0.125 0.007500000000000219
16 skew-16-0.2 4 RRG 0.4792879905005673 0.12607050892213698
16 skew-16-0.2 4 Floor 0.5 0.15160230737250469
16 skew-16-0.2 4 Rounding 0.52 0.20670457753271035
16 skew-16-0.2 4 Circle 0.12499999999999979 0.006666666666666904
16 skew-16-0.2 6 RRG 0.5918064782628812 0.23975101515790312
16 skew-16-0.2 6 Floor 0.5975 0.24628654041513834
16 skew-16-0.2 6 Rounding 0.6175 0.2954276084411892
16 skew-16-0.2 6 Circle 0.1249999999999999 0.006666666666666469
16 skew-16-0.2 8 RRG 0.6529427234521854 0.3280276624162191
16 skew-16-0.2 8 Floor 0.69 0.38585883476161464
16 skew-16-0.2 8 Rounding 0.6499999999999999 0.3395678341700119
16 skew-16-0.2 8 Circle 0.12499999999999982 0.006666666666666904
16 skew-16-0.2 10 RRG 0.7064505585615948 0.41870849471876304
16 skew-16-0.2 10 Floor 0.7324999999999999 0.4777987077841198
16 skew-16-0.2 10 Rounding 0.695 0.4010902619740654
16 skew-16-0.2 10 Circle 0.12500000000000014 0.006666666666666804
16 skew-16-0.2 12 RRG 0.7574949844157816 0.5201847703638024
16 skew-16-0.2 12 Floor 0.7825 0.5727881692302309
16 skew-16-0.2 12 Rounding 0.7525 0.5123312461473941
16 skew-16-0.2 12 Circle 0.12499999999999992 0.006666666666666469
16 skew-16-0.2 14 RRG 0.8085981210369265 0.6306392204401357
16 skew-16-0.2 14 Floor 0.84 0.6877282093027275
16 skew-16-0.2 14 Rounding 0.7775 0.5606287585832004
16 skew-16-0.2 14 Circle 0.12499999999999976 0.0066666666666666515
16 skew-16-0.3 4 RRG 0.4777328042522793 0.12707964254485354
16 skew-16-0.3 4 Floor 0.475 0.1402196944965498
16 skew-16-0.3 4 Rounding 0.545 0.25841926667634957
16 skew-16-0.3 4 Circle 0.12499999999999976 0.005833333333333316
16 skew-16-0.3 6 RRG 0.5728278484237387 0.21930143938653757
16 skew-16-0.3 6 Floor 0.635 0.31987469353922116
16 skew-16-0.3 6 Rounding 0.6125 0.29565520074990065
16 skew-16-0.3 6 Circle 0.12499999999999985 0.005833333333333561
16 skew-16-0.3 8 RRG 0.6268209516310638 0.2853679732545781
16 skew-16-0.3 8 Floor 0.6699999999999999 0.3745717019860523
16 skew-16-0.3 8 Rounding 0.635 0.3255882478822923
16 skew-16-0.3 8 Circle 0.12499999999999979 0.0058333333333333215
16 skew-16-0.3 10 RRG 0.6712480582435914 0.3544136479286721
16 skew-16-0.3 10 Floor 0.7375 0.48538059153001434
16 skew-16-0.3 10 Rounding 0.7024999999999999 0.4280371286898041
16 skew-16-0.3 10 Circle 0.12499999999999986 0.005833333333333214
16 skew-16-0.3 12 RRG 0.7125533185457181 0.4384224143613592
16 skew-16-0.3 12 Floor 0.78 0.5629351044594862
16 skew-16-0.3 12 Rounding 0.7525 0.5142439720789375
16 skew-16-0.3 12 Circle 0.12499999999999985 0.005833333333333561
16 skew-16-0.3 14 RRG 0.7553340659258433 0.5278513406318222
16 skew-16-0.3 14 Floor 0.8200000000000001 0.6446188678551314
16 skew-16-0.3 14 Rounding 0.7725000000000001 0.5484303914989344
16 skew-16-0.3 14 Circle 0.12499999999999979 0.005833333333333176
16 skew-16-0.4 4 RRG 0.47400252192646325 0.13690325579791457
16 skew-16-0.4 4 Floor 0.45749999999999996 0.12008855452781798
16 skew-16-0.4 4 Rounding 0.55 0.28761876979274326
16 skew-16-0.4 4 Circle 0.125 0.004999999999999814
16 skew-16-0.4 6 RRG 0.5329436313817192 0.16511102377637715
16 skew-16-0.4 6 Floor 0.615 0.30984006640593953
16 skew-16-0.4 6 Rounding 0.5875 0.28512974509158395
16 skew-16-0.4 6 Circle 0.12500000000000003 0.00499999999999992
16 skew-16-0.4 8 RRG 0.6046568018992089 0.24864620358802023
16 skew-16-0.4 8 Floor 0.705 0.4307971407590714
16 skew-16-0.4 8 Rounding 0.6799999999999999 0.40153088014119226
16 skew-16-0.4 8 Circle 0.125 0.004999999999999814
16 skew-16-0.4 10 RRG 0.6430075915682809 0.3110311333293659
16 skew-16-0.4 10 Floor 0.75 0.5073975748194
16 skew-16-0.4 10 Rounding 0.73 0.48108227275695387
16 skew-16-0.4 10 Circle 0.125 0.004999999999999948
16 skew-16-0.4 12 RRG 0.6728087696349971 0.36664234169027565
16 skew-16-0.4 12 Floor 0.7825 0.5732526837376805
16 skew-16-0.4 12 Rounding 0.76 0.533119116829234
16 skew-16-0.4 12 Circle 0.12500000000000003 0.00499999999999992
16 skew-16-0.4 14 RRG 0.7077292464925432 0.43458860793434806
16 skew-16-0.4 14 Floor 0.8125000000000001 0.6303412433137254
16 skew-16-0.4 14 Rounding 0.765 0.542384629201165
16 skew-16-0.4 14 Circle 0.12499999999999989 0.005000000000000176
16 skew-16-0.5 4 RRG 0.459330237021336 0.1307765909411675
16 skew-16-0.5 4 Floor 0.5525 0.30989699896412026
16 skew-16-0.5 4 Rounding 0.5525 0.2991940243245069
16 skew-16-0.5 4 Circle 0.1250000000000001 0.004166666666666747
16 skew-16-0.5 6 RRG 0.513838734709206 0.1396405963146195
16 skew-16-0.5 6 Floor 0.6599999999999999 0.41204873397346375
16 skew-16-0.5 6 Rounding 0.6499999999999999 0.4086347535968953
16 skew-16-0.5 6 Circle 0.12499999999999986 0.004166666666666548
16 skew-16-0.5 8 RRG 0.5758930716469434 0.21564594666741893
16 skew-16-0.5 8 Floor 0.72 0.4877990788349864
16 skew-16-0.5 8 Rounding 0.7174999999999999 0.47682679262602795
16 skew-16-0.5 8 Circle 0.1250000000000001 0.004166666666666747
16 skew-16-0.5 10 RRG 0.6067080227428937 0.2582955571145753
16 skew-16-0.5 10 Floor 0.755 0.5385385614830459
16 skew-16-0.5 10 Rounding 0.74 0.5016829720345346
16 skew-16-0.5 10 Circle 0.12500000000000003 0.0041666666666667004
16 skew-16-0.5 12 RRG 0.6381610458797603 0.3038904801581058
16 skew-16-0.5 12 Floor 0.785 0.5817878166003535
16 skew-16-0.5 12 Rounding 0.7575000000000001 0.5327529059061065
16 skew-16-0.5 12 Circle 0.12499999999999986 0.004166666666666548
16 skew-16-0.5 14 RRG 0.6670108570514448 0.356771694915105
16 skew-16-0.5 14 Floor 0.8125 0.6320969238801057
16 skew-16-0.5 14 Rounding 0.7749999999999999 0.5654858993484314
16 skew-16-0.5 14 Circle 0.12499999999999988 0.004166666666666582
16 skew-16-0.6 4 RRG 0.43896837363191976 0.10260886211100902
16 skew-16-0.6 4 Floor 0.5525 0.3182663779359959
16 skew-16-0.6 4 Rounding 0.55 0.315030838151614
16 skew-16-0.6 4 Circle 0.1250000000000001 0.0033333333333332707
16 skew-16-0.6 6 RRG 0.5101496873741139 0.14328011755198505
16 skew-16-0.6 6 Floor 0.6624999999999999 0.4270912970711303
16 skew-16-0.6 6 Rounding 0.6475 0.4155777838728001
16 skew-16-0.6 6 Circle 0.12500000000000025 0.003333333333333385
16 skew-16-0.6 8 RRG 0.5508778030977997 0.17833268475251388
16 skew-16-0.6 8 Floor 0.7150000000000001 0.48798836669324575
16 skew-16-0.6 8 Rounding 0.7050000000000001 0.47627607199707256
16 skew-16-0.6 8 Circle 0.1250000000000001 0.0033333333333332707
16 skew-16-0.6 10 RRG 0.5758570710711103 0.20819119812801637
16 skew-16-0.6 10 Floor 0.7525 0.5387954826956933
16 skew-16-0.6 10 Rounding 0.735 0.5187471459593592
16 skew-16-0.6 10 Circle 0.12500000000000008 0.0033333333333333843
16 skew-16-0.6 12 RRG 0.6014640463795947 0.2435932103198745
16 skew-16-0.6 12 Floor 0.78 0.5901116061133603
16 skew-16-0.6 12 Rounding 0.76 0.5529335247598645
16 skew-16-0.6 12 Circle 0.12500000000000025 0.003333333333333385
16 skew-16-0.6 14 RRG 0.6302823634992889 0.28582403829075276
16 skew-16-0.6 14 Floor 0.8125 0.6399491377995545
16 skew-16-0.6 14 Rounding 0.8025 0.6249859150054125
16 skew-16-0.6 14 Circle 0.12499999999999985 0.0033333333333334944
16 skew-16-0.7 4 RRG 0.42668444067556355 0.08366230660338463
16 skew-16-0.7 4 Floor 0.5625 0.32450971745092294
16 skew-16-0.7 4 Rounding 0.5325 0.288256620601814
16 skew-16-0.7 4 Circle 0.12500000000000025 0.00250000000000005
16 skew-16-0.7 6 RRG 0.48365253827855426 0.11194167233417993
16 skew-16-0.7 6 Floor 0.7024999999999999 0.5318255481496682
16 skew-16-0.7 6 Rounding 0.645 0.4317074607290524
16 skew-16-0.7 6 Circle 0.12500000000000014 0.0024999999999999736
16 skew-16-0.7 8 RRG 0.5195176910021388 0.135555816310632
16 skew-16-0.7 8 Floor 0.7424999999999999 0.5639902198608809
16 skew-16-0.7 8 Rounding 0.7274999999999999 0.5508030508437758
16 skew-16-0.7 8 Circle 0.12500000000000025 0.00250000000000005
16 skew-16-0.7 10 RRG 0.5488132941927376 0.1565601629195323
16 skew-16-0.7 10 Floor 0.775 0.5958326413625191
16 skew-16-0.7 10 Rounding 0.7575000000000001 0.5729389163025139
16 skew-16-0.7 10 Circle 0.12499999999999978 0.0024999999999999255
16 skew-16-0.7 12 RRG 0.5729642973075142 0.18964360106002612
16 skew-16-0.7 12 Floor 0.79 0.6172191615400533
16 skew-16-0.7 12 Rounding 0.78 0.5999049550277489
16 skew-16-0.7 12 Circle 0.12500000000000014 0.0024999999999999736
16 skew-16-0.7 14 RRG 0.5976040310171942 0.22308699538396307
16 skew-16-0.7 14 Floor 0.8225 0.6684745989029788
16 skew-16-0.7 14 Rounding 0.8150000000000002 0.6605678114113341
16 skew-16-0.7 14 Circle 0.12499999999999989 0.0025000000000000595
16 skew-16-0.8 4 RRG 0.4086316519412927 0.07608538920295556
16 skew-16-0.8 4 Floor 0.6475 0.5150506126403013
16 skew-16-0.8 4 Rounding 0.6499999999999999 0.5120376409437188
16 skew-16-0.8 4 Circle 0.12499999999999985 0.001666666666666633
16 skew-16-0.8 6 RRG 0.4704860132943022 0.09489199566660908
16 skew-16-0.8 6 Floor 0.6950000000000001 0.5441179217259543
16 skew-16-0.8 6 Rounding 0.6925 0.5344083026749175
16 skew-16-0.8 6 Circle 0.1250000000000002 0.0016666666666666182
16 skew-16-0.8 8 RRG 0.5033232278982254 0.12409375780262862
16 skew-16-0.8 8 Floor 0.775 0.6482633077985185
16 skew-16-0.8 8 Rounding 0.7625000000000001 0.6247938062670083
16 skew-16-0.8 8 Circle 0.12499999999999985 0.001666666666666633
16 skew-16-0.8 10 RRG 0.5264970867931298 0.13067738874441204
16 skew-16-0.8 10 Floor 0.7875000000000001 0.6486739321269516
16 skew-16-0.8 10 Rounding 0.7850000000000001 0.6398010579200171
16 skew-16-0.8 10 Circle 0.12499999999999997 0.0016666666666666156
16 skew-16-0.8 12 RRG 0.5426587106678908 0.14020711472771252
16 skew-16-0.8 12 Floor 0.8275 0.7059253194618818
16 skew-16-0.8 12 Rounding 0.8125 0.6817542374490824
16 skew-16-0.8 12 Circle 0.1250000000000002 0.0016666666666666182
16 skew-16-0.8 14 RRG 0.5670989696860598 0.16253740440284264
16 skew-16-0.8 14 Floor 0.835 0.7042432650176126
16 skew-16-0.8 14 Rounding 0.8274999999999999 0.6941280112381039
16 skew-16-0.8 14 Circle 0.12499999999999993 0.0016666666666666442
16 skew-16-0.9 4 RRG 0.39918303742908723 0.0809055228369766
16 skew-16-0.9 4 Floor 0.6475 0.5256072916666614
16 skew-16-0.9 4 Rounding 0.645 0.5162783796296314
16 skew-16-0.9 4 Circle 0.12499999999999992 0.0008333333333333639
16 skew-16-0.9 6 RRG 0.44475453191253356 0.07644733896898787
16 skew-16-0.9 6 Floor 0.7625 0.6775745486111103
16 skew-16-0.9 6 Rounding 0.765 0.6784561706925993
16 skew-16-0.9 6 Circle 0.12500000000000022 0.0008333333333333495
16 skew-16-0.9 8 RRG 0.47761676686009924 0.08468295109738985
16 skew-16-0.9 8 Floor 0.7625000000000001 0.6436377458318443
16 skew-16-0.9 8 Rounding 0.7575000000000001 0.6404658011091137
16 skew-16-0.9 8 Circle 0.12499999999999992 0.0008333333333333639
16 skew-16-0.9 10 RRG 0.4955601139344917 0.09241796323952128
16 skew-16-0.9 10 Floor 0.8125000000000001 0.7199121014319315
16 skew-16-0.9 10 Rounding 0.8075 0.71449288859665
16 skew-16-0.9 10 Circle 0.12499999999999997 0.0008333333333333343
16 skew-16-0.9 12 RRG 0.516618332326013 0.10163049158639503
16 skew-16-0.9 12 Floor 0.8474999999999999 0.766827894406966
16 skew-16-0.9 12 Rounding 0.84 0.7611222471919503
16 skew-16-0.9 12 Circle 0.12500000000000022 0.0008333333333333495
16 skew-16-0.9 14 RRG 0.5409270806830422 0.11322179520175069
16 skew-16-0.9 14 Floor 0.8625 0.7861776989297158
16 skew-16-0.9 14 Rounding 0.8625 0.7855600191522429
16 skew-16-0.9 14 Circle 0.12500000000000003 0.0008333333333333581
