N matrix d Alg throughput
8 skew-8-0.2 7 RRG 0.8695652173913043
8 skew-8-0.2 7 Floor 0.875
8 skew-8-0.2 7 Rounding 0.795
8 skew-8-0.2 7 Circle 0.24999999999999994
8 skew-8-0.3 2 RRG 0.36704784930492584
8 skew-8-0.3 2 Floor 0.44
8 skew-8-0.3 2 Rounding 0.4975
8 skew-8-0.3 2 Circle 0.24999999999999992
8 skew-8-0.3 3 RRG 0.553015631195702
8 skew-8-0.3 3 Floor 0.585
8 skew-8-0.3 3 Rounding 0.6025
8 skew-8-0.3 3 Circle 0.24999999999999992
8 skew-8-0.3 4 RRG 0.6277222207982182
8 skew-8-0.3 4 Floor 0.6849999999999999
8 skew-8-0.3 4 Rounding 0.6775
8 skew-8-0.3 4 Circle 0.24999999999999992
8 skew-8-0.3 5 RRG 0.7116060130243655
8 skew-8-0.3 5 Floor 0.7350000000000001
8 skew-8-0.3 5 Rounding 0.705
8 skew-8-0.3 5 Circle 0.25000000000000006
8 skew-8-0.3 6 RRG 0.7431284357821089
8 skew-8-0.3 6 Floor 0.7925
8 skew-8-0.3 6 Rounding 0.72
8 skew-8-0.3 6 Circle 0.24999999999999992
8 skew-8-0.3 7 RRG 0.8163265306122451
8 skew-8-0.3 7 Floor 0.8125
8 skew-8-0.3 7 Rounding 0.77
8 skew-8-0.3 7 Circle 0.2500000000000001
8 skew-8-0.4 2 RRG 0.4124143877871176
8 skew-8-0.4 2 Floor 0.45999999999999996
8 skew-8-0.4 2 Rounding 0.5475000000000001
8 skew-8-0.4 2 Circle 0.24999999999999994
8 skew-8-0.4 3 RRG 0.5252361524859116
8 skew-8-0.4 3 Floor 0.5975
8 skew-8-0.4 3 Rounding 0.62
8 skew-8-0.4 3 Circle 0.2500000000000001
8 skew-8-0.4 4 RRG 0.6297296366498477
8 skew-8-0.4 4 Floor 0.6875
8 skew-8-0.4 4 Rounding 0.6575
8 skew-8-0.4 4 Circle 0.24999999999999994
8 skew-8-0.4 5 RRG 0.6728936982490923
8 skew-8-0.4 5 Floor 0.745
8 skew-8-0.4 5 Rounding 0.6749999999999999
8 skew-8-0.4 5 Circle 0.2500000000000001
8 skew-8-0.4 6 RRG 0.7043489687144736
8 skew-8-0.4 6 Floor 0.78
8 skew-8-0.4 6 Rounding 0.7424999999999999
8 skew-8-0.4 6 Circle 0.2500000000000001
8 skew-8-0.4 7 RRG 0.7692307692307694
8 skew-8-0.4 7 Floor 0.8150000000000001
8 skew-8-0.4 7 Rounding 0.7725000000000001
8 skew-8-0.4 7 Circle 0.24999999999999997
8 skew-8-0.5 2 RRG 0.3808801740642183
8 skew-8-0.5 2 Floor 0.42999999999999994
8 skew-8-0.5 2 Rounding 0.5750000000000001
8 skew-8-0.5 2 Circle 0.24999999999999983
8 skew-8-0.5 3 RRG 0.49649976752570135
8 skew-8-0.5 3 Floor 0.6024999999999999
8 skew-8-0.5 3 Rounding 0.61
8 skew-8-0.5 3 Circle 0.25000000000000017
8 skew-8-0.5 4 RRG 0.5769006773136061
8 skew-8-0.5 4 Floor 0.6724999999999999
8 skew-8-0.5 4 Rounding 0.625
8 skew-8-0.5 4 Circle 0.24999999999999978
8 skew-8-0.5 5 RRG 0.6329902301033066
8 skew-8-0.5 5 Floor 0.73
8 skew-8-0.5 5 Rounding 0.7124999999999999
8 skew-8-0.5 5 Circle 0.24999999999999983
8 skew-8-0.5 6 RRG 0.6712931926339747
8 skew-8-0.5 6 Floor 0.7825
8 skew-8-0.5 6 Rounding 0.76
8 skew-8-0.5 6 Circle 0.25000000000000017
