mygrep n d matrix alg k throughputSH throughputMH
mygrep 16 4 skew-16-0.1 vermilion 3 0.6944444444444446 1
mygrep 16 4 skew-16-0.1 vermilion 4 0.7812500000000003 1
mygrep 16 4 skew-16-0.1 vermilion 5 0.8333333333333337 1
mygrep 16 4 skew-16-0.1 vermilion 6 0.8463541666666671 1
mygrep 16 4 skew-16-0.2 rotornet 1 0.24671052631578952 0.797872340425532
mygrep 16 4 skew-16-0.2 vermilion 2 0.5859375 1
mygrep 16 4 skew-16-0.2 vermilion 3 0.7401315789473685 1
mygrep 16 4 skew-16-0.2 vermilion 4 0.8018092105263159 1
mygrep 16 4 skew-16-0.2 vermilion 5 0.8388157894736844 1
mygrep 16 4 skew-16-0.2 vermilion 6 0.8634868421052633 1
mygrep 16 4 skew-16-0.3 rotornet 1 0.18028846153846154 0.7425742574257428
mygrep 16 4 skew-16-0.3 vermilion 2 0.5408653846153846 1
mygrep 16 4 skew-16-0.3 vermilion 3 0.7211538461538461 1
mygrep 16 4 skew-16-0.3 vermilion 4 0.7662259615384616 1
mygrep 16 4 skew-16-0.3 vermilion 5 0.8035714285714288 1
mygrep 16 4 skew-16-0.3 vermilion 6 0.8413461538461537 1
mygrep 16 4 skew-16-0.4 rotornet 1 0.1420454545454546 0.6944444444444446
mygrep 16 4 skew-16-0.4 vermilion 2 0.5681818181818185 1
mygrep 16 4 skew-16-0.4 vermilion 3 0.710227272727273 1
mygrep 16 4 skew-16-0.4 vermilion 4 0.7812500000000004 1
mygrep 16 4 skew-16-0.4 vermilion 5 0.8238636363636369 1
mygrep 16 4 skew-16-0.4 vermilion 6 0.8522727272727277 1
mygrep 16 4 skew-16-0.5 rotornet 1 0.1171875 0.6521739130434784
mygrep 16 4 skew-16-0.5 vermilion 2 0.52734375 1
mygrep 16 4 skew-16-0.5 vermilion 3 0.703125 1
mygrep 16 4 skew-16-0.5 vermilion 4 0.76171875 1
mygrep 16 4 skew-16-0.5 vermilion 5 0.8203125 1
mygrep 16 4 skew-16-0.5 vermilion 6 0.8398437499999999 1
mygrep 16 4 skew-16-0.6 rotornet 1 0.09973404255319149 0.6147540983606559
mygrep 16 4 skew-16-0.6 vermilion 2 0.5485372340425532 1
mygrep 16 4 skew-16-0.6 vermilion 3 0.6981382978723404 1
mygrep 16 4 skew-16-0.6 vermilion 4 0.772938829787234 1
mygrep 16 4 skew-16-0.6 vermilion 5 0.8178191489361702 1
mygrep 16 4 skew-16-0.6 vermilion 6 0.8477393617021276 1
mygrep 16 4 skew-16-0.7 rotornet 1 0.08680555555555555 0.5813953488372091
mygrep 16 4 skew-16-0.7 vermilion 2 0.5208333333333334 1
mygrep 16 4 skew-16-0.7 vermilion 3 0.6944444444444444 1
mygrep 16 4 skew-16-0.7 vermilion 4 0.7595486111111112 1
mygrep 16 4 skew-16-0.7 vermilion 5 0.8159722222222223 1
mygrep 16 4 skew-16-0.7 vermilion 6 0.8391203703703703 1
mygrep 16 4 skew-16-0.8 rotornet 1 0.07684426229508197 0.5514705882352943
mygrep 16 4 skew-16-0.8 vermilion 2 0.5379098360655737 1
mygrep 16 4 skew-16-0.8 vermilion 3 0.6915983606557377 1
mygrep 16 4 skew-16-0.8 vermilion 4 0.7684426229508197 1
mygrep 16 4 skew-16-0.8 vermilion 5 0.8145491803278689 1
mygrep 16 4 skew-16-0.8 vermilion 6 0.8452868852459016 1
mygrep 16 4 skew-16-0.9 rotornet 1 0.0689338235294118 0.5244755244755246
mygrep 16 4 skew-16-0.9 vermilion 2 0.5170036764705885 1
mygrep 16 4 skew-16-0.9 vermilion 3 0.689338235294118 1
mygrep 16 4 skew-16-0.9 vermilion 4 0.7582720588235298 1
mygrep 16 4 skew-16-0.9 vermilion 5 0.8134191176470593 1
mygrep 16 4 skew-16-0.9 vermilion 6 0.8386948529411768 1
mygrep 16 4 data-parallelism rotornet 1 0.0625 0.5666761060123789
mygrep 16 4 data-parallelism vermilion 2 0.5060422418132793 1
mygrep 16 4 data-parallelism vermilion 3 0.6696509803245068 1
mygrep 16 4 data-parallelism vermilion 4 0.7567252274118579 1
mygrep 16 4 data-parallelism vermilion 5 0.8035811763894082 1
mygrep 16 4 data-parallelism vermilion 6 0.8348219743232148 1
mygrep 16 4 hybrid-parallelism rotornet 1 0.0678510220976398 0.7238588001998622
mygrep 16 4 hybrid-parallelism vermilion 2 0.5043375135784857 1
mygrep 16 4 hybrid-parallelism vermilion 3 0.6753553223975477 1
mygrep 16 4 hybrid-parallelism vermilion 4 0.7564926325777235 1
mygrep 16 4 hybrid-parallelism vermilion 5 0.8006420607521497 1
mygrep 16 4 hybrid-parallelism vermilion 6 0.83604903124697 1
mygrep 16 4 heatmap2 rotornet 1 0.06586699267167806 0.6116317711775204
mygrep 16 4 heatmap2 vermilion 2 0.5001020684899358 1
mygrep 16 4 heatmap2 vermilion 3 0.666802757986581 1
mygrep 16 4 heatmap2 vermilion 4 0.7528334646519287 1
mygrep 16 4 heatmap2 vermilion 5 0.8001633095838973 1
mygrep 16 4 heatmap2 vermilion 6 0.8335034474832262 1
mygrep 16 4 heatmap3 rotornet 1 0.06776209184977049 0.6319126210030153
mygrep 16 4 heatmap3 vermilion 2 0.5028842996816527 1
mygrep 16 4 heatmap3 vermilion 3 0.6705123995755369 1
mygrep 16 4 heatmap3 vermilion 4 0.7536561234020123 1
mygrep 16 4 heatmap3 vermilion 5 0.803044431338037 1
mygrep 16 4 heatmap3 vermilion 6 0.8335695120614126 1
mygrep 16 4 topoopt rotornet 1 0.10606908864862043 0.9374999999999998
mygrep 16 4 topoopt vermilion 2 0.5076505474506464 1
mygrep 16 4 topoopt vermilion 3 0.671770894774596 1
mygrep 16 4 topoopt vermilion 4 0.7581502297280505 1
mygrep 16 4 topoopt vermilion 5 0.8061250737295153 1
mygrep 16 4 topoopt vermilion 6 0.8460842457510773 1
