N matrix d Alg throughput
8 skew-8-0.9 3 Floor 0.75812
8 skew-8-0.9 3 Rounding 0.79545
8 skew-8-0.9 4 Floor 0.82130
8 skew-8-0.9 4 Rounding 0.82130
8 skew-8-0.9 5 Floor 0.85446
8 skew-8-0.9 5 Rounding 0.85446
8 skew-8-0.9 6 Floor 0.87302
8 skew-8-0.9 6 Rounding 0.87302
8 skew-8-0.9 7 Floor 0.88106
8 skew-8-0.9 7 Rounding 0.88398
16 Sinkhorn_data-parallelism 4 Floor 0.83332
16 Sinkhorn_data-parallelism 4 Rounding 0.99991
16 Sinkhorn_data-parallelism 6 Floor 0.87499
16 Sinkhorn_data-parallelism 6 Rounding 0.99991
16 Sinkhorn_data-parallelism 8 Floor 0.90624
16 Sinkhorn_data-parallelism 8 Rounding 0.99991
16 Sinkhorn_data-parallelism 10 Floor 0.92500
16 Sinkhorn_data-parallelism 10 Rounding 0.99991
16 Sinkhorn_data-parallelism 12 Floor 0.93752
16 Sinkhorn_data-parallelism 12 Rounding 0.99991
16 Sinkhorn_data-parallelism 14 Floor 0.94643
16 Sinkhorn_data-parallelism 14 Rounding 0.99991
16 Sinkhorn_hybrid-parallelism 4 Floor 0.81250
16 Sinkhorn_hybrid-parallelism 4 Rounding 0.81250
16 Sinkhorn_hybrid-parallelism 6 Floor 0.87500
16 Sinkhorn_hybrid-parallelism 6 Rounding 0.87500
16 Sinkhorn_hybrid-parallelism 8 Floor 0.90625
16 Sinkhorn_hybrid-parallelism 8 Rounding 0.90625
16 Sinkhorn_hybrid-parallelism 10 Floor 0.92500
16 Sinkhorn_hybrid-parallelism 10 Rounding 0.92500
16 Sinkhorn_hybrid-parallelism 12 Floor 0.93750
16 Sinkhorn_hybrid-parallelism 12 Rounding 0.93750
16 Sinkhorn_hybrid-parallelism 14 Floor 0.94643
16 Sinkhorn_hybrid-parallelism 14 Rounding 0.94643
16 Sinkhorn_heatmap1 4 Floor 0.81250
16 Sinkhorn_heatmap1 4 Rounding 0.81250
16 Sinkhorn_heatmap1 6 Floor 0.87500
16 Sinkhorn_heatmap1 6 Rounding 0.87500
16 Sinkhorn_heatmap1 8 Floor 0.90625
16 Sinkhorn_heatmap1 8 Rounding 0.90625
16 Sinkhorn_heatmap1 10 Floor 0.92500
16 Sinkhorn_heatmap1 10 Rounding 0.92500
16 Sinkhorn_heatmap1 12 Floor 0.93750
16 Sinkhorn_heatmap1 12 Rounding 0.93750
16 Sinkhorn_heatmap1 14 Floor 0.94643
16 Sinkhorn_heatmap1 14 Rounding 0.94643
16 Sinkhorn_heatmap2 4 Floor 0.81250
16 Sinkhorn_heatmap2 4 Rounding 0.81316
16 Sinkhorn_heatmap2 6 Floor 0.87500
16 Sinkhorn_heatmap2 6 Rounding 0.87500
16 Sinkhorn_heatmap2 8 Floor 0.90625
16 Sinkhorn_heatmap2 8 Rounding 0.90625
16 Sinkhorn_heatmap2 10 Floor 0.92500
16 Sinkhorn_heatmap2 10 Rounding 0.92471
16 Sinkhorn_heatmap2 12 Floor 0.93499
16 Sinkhorn_heatmap2 12 Rounding 0.93525
16 Sinkhorn_heatmap2 14 Floor 0.94372
16 Sinkhorn_heatmap2 14 Rounding 0.94286
16 Sinkhorn_heatmap3 4 Floor 0.81250
16 Sinkhorn_heatmap3 4 Rounding 0.81250
16 Sinkhorn_heatmap3 6 Floor 0.87500
16 Sinkhorn_heatmap3 6 Rounding 0.87500
16 Sinkhorn_heatmap3 8 Floor 0.90625
16 Sinkhorn_heatmap3 8 Rounding 0.90625
16 Sinkhorn_heatmap3 10 Floor 0.92500
16 Sinkhorn_heatmap3 10 Rounding 0.92500
16 Sinkhorn_heatmap3 12 Floor 0.93750
16 Sinkhorn_heatmap3 12 Rounding 0.93750
16 Sinkhorn_heatmap3 14 Floor 0.94643
16 Sinkhorn_heatmap3 14 Rounding 0.94643
16 Sinkhorn_topoopt 4 Floor 0.79711
16 Sinkhorn_topoopt 4 Rounding 0.79555
16 Sinkhorn_topoopt 6 Floor 0.79923
16 Sinkhorn_topoopt 6 Rounding 0.82315
16 Sinkhorn_topoopt 8 Floor 0.83674
16 Sinkhorn_topoopt 8 Rounding 0.87164
16 Sinkhorn_topoopt 10 Floor 0.87383
16 Sinkhorn_topoopt 10 Rounding 0.88532
16 Sinkhorn_topoopt 12 Floor 0.89444
16 Sinkhorn_topoopt 12 Rounding 0.90118
16 Sinkhorn_topoopt 14 Floor 0.91008
16 Sinkhorn_topoopt 14 Rounding 0.92341
16 chessboard-16 4 Floor 0.52585
16 chessboard-16 4 Rounding 0.52533
16 chessboard-16 6 Floor 0.63375
16 chessboard-16 6 Rounding 0.63122
16 chessboard-16 8 Floor 0.69663
16 chessboard-16 8 Rounding 0.81579
16 chessboard-16 10 Floor 0.76438
16 chessboard-16 10 Rounding 0.85218
16 chessboard-16 12 Floor 0.83671
16 chessboard-16 12 Rounding 0.87539
16 chessboard-16 14 Floor 0.84019
16 chessboard-16 14 Rounding 0.84216
16 uniform-16 4 Floor 0.52326
16 uniform-16 4 Rounding 0.50247
16 uniform-16 6 Floor 0.62185
16 uniform-16 6 Rounding 0.57325
16 uniform-16 8 Floor 0.68182
16 uniform-16 8 Rounding 0.68182
16 uniform-16 10 Floor 0.75000
16 uniform-16 10 Rounding 0.75000
16 uniform-16 12 Floor 0.83333
16 uniform-16 12 Rounding 0.83333
16 uniform-16 14 Floor 0.93750
16 uniform-16 14 Rounding 0.93750
16 permutation-16 4 Floor 1.00000
16 permutation-16 4 Rounding 1.00000
