N matrix d Alg throughput
8 skew-8-0.7 6 Circle 0.25000000000000017
8 skew-8-0.7 7 RRG 0.6557377049180328
8 skew-8-0.7 7 Circle 0.24999999999999992
8 skew-8-0.8 2 RRG 0.3763824048572016
8 skew-8-0.8 2 Circle 0.2500000000000001
8 skew-8-0.8 3 RRG 0.46410195793548625
8 skew-8-0.8 3 Circle 0.25000000000000006
8 skew-8-0.8 4 RRG 0.5211442706715752
8 skew-8-0.8 4 Circle 0.2500000000000001
8 skew-8-0.8 5 RRG 0.5679897279827955
8 skew-8-0.8 5 Circle 0.25000000000000006
8 skew-8-0.8 6 RRG 0.5776540501589326
8 skew-8-0.8 6 Circle 0.25000000000000006
8 skew-8-0.8 7 RRG 0.6249999999999999
8 skew-8-0.8 7 Circle 0.25000000000000006
8 skew-8-0.9 2 RRG 0.3748069883246521
8 skew-8-0.9 2 Circle 0.2500000000000001
8 skew-8-0.9 3 RRG 0.4496428179167987
8 skew-8-0.9 3 Circle 0.25000000000000006
8 skew-8-0.9 4 RRG 0.5032541713597452
8 skew-8-0.9 4 Circle 0.2500000000000001
8 skew-8-0.9 5 RRG 0.5432919049979403
8 skew-8-0.9 5 Circle 0.24999999999999992
8 skew-8-0.9 6 RRG 0.556575280423335
8 skew-8-0.9 6 Circle 0.25000000000000006
8 skew-8-0.9 7 RRG 0.5970149253731345
8 skew-8-0.9 7 Circle 0.24999999999999992
16 Sinkhorn_data-parallelism 4 RRG 0.38497996631960063
16 Sinkhorn_data-parallelism 4 Circle 0.9999079655596624
16 Sinkhorn_data-parallelism 6 RRG 0.4473251955656277
16 Sinkhorn_data-parallelism 6 Circle 0.9999079655596624
16 Sinkhorn_data-parallelism 8 RRG 0.4620517787113315
16 Sinkhorn_data-parallelism 8 Circle 0.9999079655596624
16 Sinkhorn_data-parallelism 10 RRG 0.48871453474854654
16 Sinkhorn_data-parallelism 10 Circle 0.9999079655596625
16 Sinkhorn_data-parallelism 12 RRG 0.5093521812542292
16 Sinkhorn_data-parallelism 12 Circle 0.9999079655596624
16 Sinkhorn_data-parallelism 14 RRG 0.5250310128824788
16 Sinkhorn_data-parallelism 14 Circle 0.9999079655596624
16 Sinkhorn_hybrid-parallelism 4 RRG 0.3859153309797547
16 Sinkhorn_hybrid-parallelism 4 Circle 0.9772804280889652
16 Sinkhorn_hybrid-parallelism 6 RRG 0.43104396061059375
16 Sinkhorn_hybrid-parallelism 6 Circle 0.9772804318359053
16 Sinkhorn_hybrid-parallelism 8 RRG 0.46547247144126125
16 Sinkhorn_hybrid-parallelism 8 Circle 0.9772804318359056
16 Sinkhorn_hybrid-parallelism 10 RRG 0.4936232193851652
16 Sinkhorn_hybrid-parallelism 10 Circle 0.9772804318359053
16 Sinkhorn_hybrid-parallelism 12 RRG 0.5108842879938738
16 Sinkhorn_hybrid-parallelism 12 Circle 0.9772804318359053
16 Sinkhorn_hybrid-parallelism 14 RRG 0.5237369390196898
16 Sinkhorn_hybrid-parallelism 14 Circle 0.9772804318359051
16 Sinkhorn_heatmap1 4 RRG 0.3742586172084961
16 Sinkhorn_heatmap1 4 Circle 0.9799279829845888
16 Sinkhorn_heatmap1 6 RRG 0.43323622854787464
16 Sinkhorn_heatmap1 6 Circle 0.979927982984588
16 Sinkhorn_heatmap1 8 RRG 0.4720763832036057
16 Sinkhorn_heatmap1 8 Circle 0.9799279829845888
16 Sinkhorn_heatmap1 10 RRG 0.4943587942901463
16 Sinkhorn_heatmap1 10 Circle 0.9799280000945345
16 Sinkhorn_heatmap1 12 RRG 0.5067954498058699
16 Sinkhorn_heatmap1 12 Circle 0.9799280000945342
16 Sinkhorn_heatmap1 14 RRG 0.5237452145758472
16 Sinkhorn_heatmap1 14 Circle 0.9799280000945345
16 Sinkhorn_heatmap2 4 RRG 0.37937473350096773
16 Sinkhorn_heatmap2 4 Circle 0.32746171783975664
16 Sinkhorn_heatmap2 6 RRG 0.43254032636290685
16 Sinkhorn_heatmap2 6 Circle 0.32746171783975664
16 Sinkhorn_heatmap2 8 RRG 0.4717475063172114
16 Sinkhorn_heatmap2 8 Circle 0.32746171783975664
16 Sinkhorn_heatmap2 10 RRG 0.4936748272590631
16 Sinkhorn_heatmap2 10 Circle 0.3274617178397567
16 Sinkhorn_heatmap2 12 RRG 0.5132330188164194
16 Sinkhorn_heatmap2 12 Circle 0.32746171783975664
16 Sinkhorn_heatmap2 14 RRG 0.5271017329895028
16 Sinkhorn_heatmap2 14 Circle 0.32746171783975664
16 Sinkhorn_heatmap3 4 RRG 0.37964635976956873
16 Sinkhorn_heatmap3 4 Circle 0.14280327420220748
16 Sinkhorn_heatmap3 6 RRG 0.4376025834482783
16 Sinkhorn_heatmap3 6 Circle 0.1428032742022076
16 Sinkhorn_heatmap3 8 RRG 0.46893545701947364
16 Sinkhorn_heatmap3 8 Circle 0.14280327420220748
16 Sinkhorn_heatmap3 10 RRG 0.49337825144996
16 Sinkhorn_heatmap3 10 Circle 0.14280327420220756
16 Sinkhorn_heatmap3 12 RRG 0.5099636223396932
16 Sinkhorn_heatmap3 12 Circle 0.1428032742022076
16 Sinkhorn_heatmap3 14 RRG 0.5248866585199073
16 Sinkhorn_heatmap3 14 Circle 0.1428032742022076
16 Sinkhorn_topoopt 4 RRG 0.4349508621989492
16 Sinkhorn_topoopt 4 Circle 0.26550762109950876
16 Sinkhorn_topoopt 6 RRG 0.5243143598331503
